2015,2016,2017,2018,2019,2020,2021,2022
Jan,4.57,4.77,4.76,4.86,4.94,4.96,5.40,5.76
Feb,4.61,4.93,4.78,4.86,4.98,5.30,5.29,5.67
Mar,4.59,4.92,4.90,4.79,4.99,5.21,5.56
Apr,4.55,4.96,4.88,4.85,4.85,5.17,5.44
May,4.62,4.93,4.88,4.66,4.97,5.18,5.53
Jun,4.54,4.85,4.94,4.62,4.85,5.08,5.57
Jul,4.60,4.93,4.94,4.74,5.16,5.12,5.55
Aug,4.56,4.92,4.91,4.69,5.03,5.16,5.52
Sep,4.69,4.83,4.93,4.74,4.97,5.37,5.69
Oct,4.67,4.66,4.82,4.77,5.10,5.27,5.60
Nov,4.70,4.66,4.78,4.81,5.05,5.29,5.51
Dec,4.66,4.70,4.78,4.77,5,5.27,5.48