,,,,,,,,,
,,,,,,,,,
,Average retail price for potatoes in Canada 2015-2022,,,,,,,,
,Average retail price for potatoes in Canada from January 2015 to February 2022 (in Canadian dollars per 4.54 kilograms),,,,,,,,
,,2015,2016,2017,2018,2019,2020,2021,2022
,Jan,5.58,5.85,6.63,6.99,8.43,9.55,10.34,10.31
,Feb,5.55,5.65,6.65,7.19,8.56,9.49,10.09,10.33
,Mar,5.56,5.84,6.58,7.17,8.79,9.78,10.31,
,Apr,5.52,5.99,6.47,7.15,8.98,10.43,10.23,
,May,5.61,6.09,6.78,7.72,9.17,11.11,10.58,
,Jun,5.66,6.53,7.18,7.96,9.55,11.02,10.50,
,Jul,5.79,6.99,7.51,8.21,9.94,11.15,10.72,
,Aug,6.05,7.13,7.71,8.42,10.39,10.70,10.67,
,Sep,6.04,6.44,7.03,7.91,10.28,10.33,10.19,
,Oct,5.68,6.17,6.69,7.90,9.77,9.82,10.17,
,Nov,5.60,6.45,7.13,7.82,9.47,9.57,9.89,
,Dec,5.82,6.56,7.24,8.11,9.37,9.76,10.36,